,Title,Image,Old price,New price,Diagonal of display,Shape of display,Processor series,CPU,Cores,CPU base frequency,RAM,RAM type,RAM frequency,HDD,SSD,Video card,Model of video card,Video card capacity,Web-camera,Shape,Weight
https://www.foxtrot.com.ua/ru/shop/noutbuki_msi_gp62m-7rdx-2851ua.html,Ноутбук MSI GP62M Leopard 7RDX (GP62M7RDX-2851UA),https://i1.foxtrot.com.ua/product/thumb/6406307.jpg,,36295,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7300HQ,4,2.5,16 Гб,DDR4,2400,1 Тб,,NVIDIA,GeForce GTX1050,4 Гб,1 Мп (HD),383 x 260 x 29,2.2 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_330-15igm-81d100efra.html,Ноутбук LENOVO 330-15IGM (81D100EFRA) Onyx Black,https://i1.foxtrot.com.ua/product/thumb/6407031.jpg,7499,7299,15.6,1366 х 768,Intel® Celeron™,N4000,2,2.6,4 Гб,DDR4,2400,500 Гб,,,Intel UHD Graphics 600,,0.3 Мп (VGA),378 х 260 х 22.9,2.2 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_250-g6-3qm19es.html,Ноутбук HP 250 G6 (3QM19ES),https://i1.foxtrot.com.ua/product/thumb/6400535.jpg,,8499,15.6,1366 х 768,Intel® Pentium™,N4200,4,1.1,4 Гб,DDR3L,,500 Гб,,,Intel HD Graphics 505,,0.3 Мп (VGA),23.8 x 380 x 253.8,1.86 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_250-g6-2rr69es.html,Ноутбук HP 250 G6 (2RR69ES),https://i1.foxtrot.com.ua/product/thumb/6400543.jpg,,25439,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7200U,2,2.5,8 Гб,DDR4,,,512 Гб,,Intel HD Graphics 620,,0.3 Мп (VGA),23.8 x 380 x 253.8,1.86 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_250-g6-1xn69ea.html,Ноутбук HP 250 G6 (1XN69EA),https://i1.foxtrot.com.ua/product/thumb/6400546.jpg,,29030,15.6,1920 x 1080,Intel® Core™ i7 (7 поколение),7500U,2,2.7,8 Гб,DDR4,2133,,512 Гб,,Intel HD Graphics 620,,1 Мп (HD),380 x 253.8 x 23.8,1.86 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_thinkpad-t470s-20hf004mrt.html,Ультрабук LENOVO ThinkPad T470s (20HF004MRT),https://i1.foxtrot.com.ua/product/thumb/6400637.jpg,,52982,14,1920 x 1080,Intel® Core™ i7 (7 поколение),7600U,2,2.8,16 Гб,DDR4,,,512 Гб,,Intel HD Graphics 620,,1 Мп (HD),18.8 х 331 х 226.8,1.32 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_v110-80tl00a7ra.html,Ноутбук LENOVO V110 (80TL00A7RA),https://i1.foxtrot.com.ua/product/thumb/6400650.jpg,,16416,15.6,1366 х 768,Intel® Core™ i3 (6 поколение),6006U,2,2.0,4 Гб,DDR4,2133,,128 Гб,,Intel HD Graphics 520,,0.3 Мп (VGA),22.9 x 380 x 262,1.9 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_v110-80th000xrk.html,Ноутбук LENOVO V110 (80TH000XRK),https://i1.foxtrot.com.ua/product/thumb/6400657.jpg,,19380,15.6,1366 х 768,Intel® Core™ i5 (7 поколение),7200U,2,2.5,8 Гб,DDR4,,,256 Гб,,Intel HD Graphics 620,,0.3 Мп (VGA),22.9 x 380 x 262,1.9 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_probook-430-g5-2vp87ea.html,Ноутбук HP Probook 430 G5 (2VP87EA),https://i1.foxtrot.com.ua/product/thumb/6400572.jpg,,27132,13.3,1920 x 1080,Intel® Core™ i7 (8 поколение),8250U,4,1.6,8 Гб,DDR4,2400,,256 Гб,,Intel UHD Graphics 620,,1 Мп (HD),32.6 x 23.4 x 2.14,1.49 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_probook-440-g5-2sy21ea.html,Ноутбук HP Probook 440 G5 (2SY21EA) Silver,https://i1.foxtrot.com.ua/product/thumb/6400579.jpg,,24738,14,1920 x 1080,Intel® Core™ i5 (8 поколение),8250U,4,1.6,8 Гб,DDR4,2400,1 Тб,,,Intel UHD Graphics 620,,1 Мп (HD),336 x 238 x 20,1.63 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_probook-450-g5-2sx97ea.html,Ноутбук HP Probook 450 G5 (2SX97EA),https://i1.foxtrot.com.ua/product/thumb/6400585.jpg,,23969,15.6,1366 х 768,Intel® Core™ i5 (8 поколение),8250U,4,1.6,8 Гб,DDR4,2400,1 Тб,,NVIDIA,GeForce 940MX,2 Гб,1 Мп (HD),22.8 x 376 x 264.1,2.1 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_ideapad-320-81bg00vdra.html,Ноутбук LENOVO IdeaPad 320-15 (81BG00VDRA),https://i1.foxtrot.com.ua/product/thumb/6400692.jpg,,22999,15.6,1920 x 1080,Intel® Core™ i7 (8 поколение),8550U,4,1.8,8 Гб,DDR4,2133,,256 Гб,NVIDIA,GeForce MX150,2 Гб,0.3 Мп (VGA),378 x 260 x 22.9,2.2 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_ideapad-320-80xh01xjra.html,Ноутбук LENOVO IdeaPad 320-15 (80XH01XJRA),https://i1.foxtrot.com.ua/product/thumb/6400694.jpg,,12539,15.6,1366 х 768,Intel® Core™ i3 (6 поколение),6006U,2,2.0,4 Гб,DDR4,2133,,128 Гб,NVIDIA,GeForce 920MX,2 Гб,0.3 Мп (VGA),378 x 260 x 22.9,2.2 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_acer_one-10-s1003-13hb-nt-lcqeu-008.html,Нетбук ACER One 10 S1003-13HB (NT.LCQEU.008),https://i1.foxtrot.com.ua/product/thumb/6424795.jpg,,9299,10.1,1280 x 800,Intel® Atom™,x5-Z8350,4,1.44,4 Гб,DDR3L,,,,,Intel HD Graphics 400,,2 Мп,262 x 173.5 x 9.5-20.65,1.27 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_f541uj-gq445t.html,Ноутбук ASUS F541UJ-GQ445T (90NB0ER1-M07060),https://i1.foxtrot.com.ua/product/thumb/6339363.jpg,,13999,15.6,1366 х 768,Intel® Core™ i3 (6 поколение),6006U,2,2.0,4 Гб,,,1 Тб,,NVIDIA,GeForce GT920M,2 Гб,0.3 Мп (VGA),381.4 x 251.5 x 27.6,2 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_x302uv-r4023d.html,Ноутбук ASUS X302UV-R4023D (90NB0BM1-M00410),https://i1.foxtrot.com.ua/product/thumb/6284162.jpg,,18604,13.3,1920 x 1080,Intel® Core™ i5 (6 поколение),6200U,2,2.3,8 Гб,DDR3L,1600,1 Тб,,NVIDIA,GeForce 920MX,2 Гб,0.3 Мп (VGA),328 x 234 x 25.6,1.59 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_envy-13-ad111ur-3dl90ea.html,Ультрабук HP ENVY 13-ad111ur (3DL90EA),https://i1.foxtrot.com.ua/product/thumb/6389150.jpg,,34799,13.3,1920 x 1080,Intel® Core™ i7 (8 поколение),8550U,4,1.8,8 Гб,LPDDR3,2133,,256 Гб,NVIDIA,GeForce MX150,2 Гб,1 Мп (HD),305.4 x 215.6 x 13.9,1.32 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_b9440ua-gv0145r.html,Ультрабук ASUS B9440UA-GV0145R (90NX0151-M01930),https://i1.foxtrot.com.ua/product/thumb/6394873.jpg,,37799,14,1920 x 1080,Intel® Core™ i5 (7 поколение),7300U,2,2.6,16 Гб,LPDDR3,1866,,256 Гб,,Intel HD Graphics 620,,,321.3 x 216.2 x 15,1.05 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_dell_latitude-5580-n024l_d.html,Ноутбук DELL Latitude 5580 (N024L558015EMEA_D),https://i1.foxtrot.com.ua/product/thumb/6394880.jpg,,23473,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7200U,2,2.5,8 Гб,DDR4,2133,,128 Гб,,Intel HD Graphics 620,,1 Мп (HD),376 x 250.65 x 23.25,1.9 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_dell_latitude-5580-n028l_p.html,Ноутбук DELL Latitude 5580 (N028L558015EMEA_P),https://i1.foxtrot.com.ua/product/thumb/6394894.jpg,,42995,15.6,1920 x 1080,Intel® Core™ i7 (7 поколение),7600U,2,2.8,16 Гб,DDR4,2133,,256 Гб,NVIDIA,GeForce GT930M,2 Гб,1 Мп (HD),376 x 250.65 x 23.25,1.9 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_omen-by-hp-laptop-17-an054ur2le49ea.html,Ноутбук HP OMEN 17-an054ur (2LE49EA),https://i1.foxtrot.com.ua/product/thumb/6394902.jpg,,73699,17.3,3840 x 2160,Intel® Core™ i7 (7 поколение),7700HQ,4,2.8,16 Гб,DDR4,2400,2 Тб,256 Гб,NVIDIA,GeForce GTX1070,8 Гб,1 Мп (HD),423 x 304 x 33,3.78 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_ideapad-yoga-520-14-81c800cxra.html,Транcформер LENOVO IdeaPad YOGA 520-14 (81C800CXRA),https://i1.foxtrot.com.ua/product/thumb/6395041.jpg,,36791,14,1920 x 1080,Intel® Core™ i7 (8 поколение),8550U,4,1.8,16 Гб,DDR4,2400,,256 Гб,,Intel UHD Graphics 620,,1 Мп (HD),330 x 235 x 19.9,1.74 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_ideapad-yoga-520-14-81c800d1ra.html,Транcформер LENOVO IdeaPad YOGA 520-14 (81C800D1RA),https://i1.foxtrot.com.ua/product/thumb/6395042.jpg,,33219,14,1920 x 1080,Intel® Core™ i5 (8 поколение),8250U,4,1.6,16 Гб,DDR4,2400,,256 Гб,NVIDIA,GeForce 940MX,2 Гб,1 Мп (HD),330 x 235 x 19.9,1.74 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_ux310uf-fc005r.html,Ультрабук ASUS ZenBook UX310UF-FC005R (90NB0HY1-M00110),https://i1.foxtrot.com.ua/product/thumb/6395054.jpg,,36299,13.3,1920 x 1080,Intel® Core™ i5 (8 поколение),8250U,4,1.6,16 Гб,DDR4,2400,1 Тб,256 Гб,NVIDIA,GeForce MX130,2 Гб,1 Мп (HD),323 x 223 x 18.35,1.4 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_250-g6-2rr67ea-dark-ash-silver.html,Ноутбук HP 250 G6 (2RR67EA) Dark Ash Silver,https://i1.foxtrot.com.ua/product/thumb/6386585.jpg,,24735,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7200U,2,2.5,8 Гб,DDR4,2133,,256 Гб,AMD,Radeon 520,2 Гб,1 Мп (HD),380 x 253 x 23.8,1.86 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_f540mb-dm024.html,Ноутбук ASUS F540MB-DM024 (90NB0IQ3-M00370),https://i1.foxtrot.com.ua/product/thumb/6384148.jpg,,10999,15.6,1920 x 1080,Intel® Pentium™,N5000,4,1.1,4 Гб,,,1 Тб,,NVIDIA,GeForce MX110,2 Гб,0.3 Мп (VGA),381 x 251 x 27.2,1.9 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_s530uf-bq126t.html,Ноутбук ASUS S530UF-BQ126T (90NB0IB5-M01420),https://i1.foxtrot.com.ua/product/thumb/6394598.jpg,,25249,15.6,1920 x 1080,Intel® Core™ i3 (8 поколение),8130U,2,2.2,8 Гб,DDR4,2400,1 Тб,8 Гб,NVIDIA,GeForce MX130,2 Гб,1 Мп (HD),361.4 x 243.5 x 18,1.8 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_x510ua-bq916.html,Ноутбук ASUS X510UA-BQ916 (90NB0FQ4-M14240),https://i1.foxtrot.com.ua/product/thumb/6394635.jpg,,14599,15.6,1920 x 1080,Intel® Core™ i3 (8 поколение),8130U,2,2.2,4 Гб,DDR4,2400,1 Тб,,,Intel UHD Graphics 620,,0.3 Мп (VGA),361.4 x 243.5 x 19.4,1.7 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_x510ua-bq444.html,Ноутбук ASUS X510UA-BQ444 (90NB0FQ4-M06820),https://i1.foxtrot.com.ua/product/thumb/6394636.jpg,,19749,15.6,1920 x 1080,Intel® Core™ i5 (8 поколение),8250U,4,1.6,8 Гб,DDR4,2400,,256 Гб,,Intel UHD Graphics 620,,0.3 Мп (VGA),361.4 x 243.5 x 19.4,1.7 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_fx503vm-e4178-90nr0gp1-m03190.html,Ноутбук ASUS FX503VM-E4178 (90NR0GP1-M03190),https://i1.foxtrot.com.ua/product/thumb/6407308.jpg,,35299,15.6,1280 x 800,Intel® Core™ i5 (7 поколение),7300HQ,4,2.5,8 Гб,,,1 Тб,128 Гб,NVIDIA,GeForce GTX1060,3 Гб,1 Мп (HD),24 х 384 х 262,2.5 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_asus_gl503vd-fy076-90nb0gq2-m01100.html,Ноутбук ASUS GL503VD-FY076 (90NB0GQ2-M01100),https://i1.foxtrot.com.ua/product/thumb/6407310.jpg,,41099,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7300HQ,4,2.8,16 Гб,DDR4,2133,1 Тб,128 Гб,NVIDIA,GeForce GTX1050,4 Гб,1 Мп (HD),30 x 383 x 255,2.5 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_fujitsu_lifebook-u727-lkn-u7270m0002ua.html,Ноутбук FUJITSU LIFEBOOK U727 (LKN:U7270M0002UA),https://i1.foxtrot.com.ua/product/thumb/6407317.jpg,,37729,12.5,1920 x 1080,Intel® Core™ i7 (7 поколение),7300U,2,2.6,8 Гб,DDR4,2133,,256 Гб,,Intel HD Graphics 620,,1 Мп (HD),19 x 302 x 209,1.15 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_thinkpad-e480-20kn0061rt.html,Ноутбук LENOVO ThinkPad E480 (20KN0061RT),https://i1.foxtrot.com.ua/product/thumb/6407344.jpg,,24121,14,1920 x 1080,Intel® Core™ i5 (8 поколение),8250U,4,1.6,8 Гб,DDR4,2400,,256 Гб,,Intel UHD Graphics 620,,1 Мп (HD),329 х 242 х 22,1.75 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_thinkpad-t580-20l90026rt.html,Ноутбук LENOVO ThinkPad T580 (20L90026RT),https://i1.foxtrot.com.ua/product/thumb/6407354.jpg,,66918,15.6,3840 x 2160,Intel® Core™ i7 (8 поколение),8550U,4,1.8,16 Гб,DDR4,2400,,512 Гб,NVIDIA,GeForce MX150,2 Гб,1 Мп (HD),20.2 x 365.8 x 252.8,1.95 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_thinkpad-x1-carbon-20kg004jrt.html,Ноутбук LENOVO ThinkPad X1 Carbon (20KG004JRT),https://i1.foxtrot.com.ua/product/thumb/6407355.jpg,,71877,14,1920 x 1080,Intel® Core™ i5 (8 поколение),8350U,4,1.7,16 Гб,LPDDR3,2133,,512 Гб,,Intel UHD Graphics 620,,1 Мп (HD),323.5 x 217.1 x 15.95,1.13 кг
